Entidad,Compañia,Lugar,Descripcion,Hace_Cuanto
        Asesor de ventas Turno completo      ,BM3 MOTOS,"        Trujillo, La Libertad      ","    BM3 Motos, empresa concesionaria de las principales marcas de motocicletas: KTM, Hero, Lifan, Benelli, Zongshen, TVS, Greenline, B52 y Azelli, está en búsqueda del mejor talento pa…    ", Hace 4 min.        
        Inspector(a) Hidrobiológico - Chicama      ,SGS,"        Chicama, La Libertad      ","    Descripción de la empresa   SGS es una compañía multinacional de origen suizo, líder mundial en servicios de inspección, verificación, análisis y certificación de productos y servi…    ", Justo ahora        
        Oficial de Logística y Administración - Proyecto MRNO-GRD-BHA- La Libertad      ,Save the Children,"        Trujillo, La Libertad      ",    LA OPORTUNIDAD   El objetivo del puesto es trabajar de manera coordinada con todos los componentes del proyecto “Mejorar las capacidades y mecanismos de coordinación entre las regi…    , Hace 1 hora        
        Consultor (a) de Ventas medio tiempo Turno Tarde - Promart Chacarero      ,Promart,"        Trujillo, La Libertad      ","    Homecenters Peruanos S.A., es una empresa peruana retail de mejoramiento del hogar que forma parte de Intercorp Retail, fundada en el 2011. Nuestra marca comercial es Promart y hoy…    ", Hace 4 horas        
        Ayudante de almacen      ,Corporacion Tutushima E.I.R.L.,"        Trujillo, La Libertad      ","    Requerimientos: Educación de Secundaria completa. Conocimiento de computación a nivel usuario. 03 meses de experiencia en almacenes. Varones o mujeres Ser una persona honesta, con …    ", Hace 7 horas        
        Supervisor de Produccion      ,Corporacion Tutushima E.I.R.L.,"        Trujillo, La Libertad      ","    Requerimientos: Ingeniero Industrial, Ingeniero Mecánico, Ing, Químico o carrera afín. 1 año de experiencia en el sector Industrial. Ambos sexos Mostrar eficiencia, sentido de pert…    ", Hace 7 horas        
        Operador de Montacarga Turnos Rotativos Trujillo      ,Arca Continental,"        Trujillo, La Libertad      ","     Realizar las operaciones de carga y descarga de las unidades de transporte, que ingresan al almacén aplicando el procedimiento interno de almacenamiento.    Realizar la rotación…    ", Justo ahora        
        urgente Se requiere promotor de servicios huamachuco      ,Adecco,"        Huamachuco, La Libertad      ","    Por encargo de nuestro cliente, empresa líder del rubro bancario, nos encontramos en la búsqueda de un Promotor de Servicios.   1. Requisitos:  Estudiantes universitarios o técnico…    ", Justo ahora        
        Personal Mantenimiento Electricidad y Refrigeración      ,D G INVERSIONES SAC,"        Trujillo, La Libertad      ","    S/. 1.000,00 (Mensual) Contrato por Inicio o Incremento de Actividad Tiempo completo   Se necesita 03 personas para el área de mantenimiento con conocimientos básicos en electricid…    ", Justo ahora        
        Profesora de EEFF 3 días y música 4 días Sede Trujillo      ,Colegios Peruanos,"        Trujillo, La Libertad      ",    Estamos en búsqueda de PROFESOR(A) de EEFF (3 días)/ EL GOLF y música (4 días)/ SAN ISIDRO para nuestras sedes en TRUJILLO para el 2022   Especialidades:   EEFF (3 días)   Música…    , Justo ahora        
        Vendedora Full time Trujillo      ,BABYMODAS,"        Trujillo, La Libertad      ","    Interesadas dejar CV de 11:00 am 7:00 pm en Mall Aventura Plaza, Av. América oeste 750 Interior 1181 Frente a la tienda bata. 1er piso .   Requerimientos Educación mínima: Educa…    ", Justo ahora        
        Prevencionistas de Perdidas 8 12 horas rotativas Experiencia Retail Supermercados Trujillo      ,Iseg Peru S.A.C,"        Trujillo, La Libertad      ","    Nos encontramos en busca de nuevos talentos como tú, para que formen parte de nuestro gran equipo de “Prevención de Perdidas”, donde mostramos y resaltamos nuestro ADN ISEG.   Desc…    ", Justo ahora        
        Promotor de venta Black and Decker Trujillo      ,Grupo Tawa,"        Trujillo, La Libertad      ","    Somos una empresa de servicios de gestión de canales de venta. Somos socios permanentes de más de 30 empresas globales y regionales, en canales presenciales y virtuales en Perú y C…    ", Justo ahora        
        Asesor de ventas Turno completo      ,BM3 MOTOS,"        Trujillo, La Libertad      ","    BM3 IMPORT, importante empresa ubicada el centro de Trujillo solicita para su equipo de trabajo Asesor de Ventas de Accesorios para Motos.   Funciones:    Incrementar la cartera de…    ", Justo ahora        
        Analista Programador.NET con experiencia en proyectos de contabilidad      ,CEP Nuestra Senora del Perpetuo Socorro,"        Trujillo, La Libertad      ","    Desarrollar la solución mediante entorno de escritorio y web (.NET, MVC) aplicando buenas prácticas.  Usar procedimientos almacenados optimizados en SQL Server.  Realizar las prueb…    ", Justo ahora        
        Personal para Planta de Concreto y Prefabricados      ,Bectek,"        Trujillo, La Libertad      ","    AYUDANTE DE PLANTA, ASISTENTE DE LABORATORIO, OPERADOR DE BOMBA, AYUDANTE DE BOMBA, OPERADOR DE MIXER, OPERADOR DE CARGADOR.  PLANTA PREFABRICADOS  OPERADOR DE MEZCLADORA, OPERADOR…    ", Justo ahora        
        promotora vendedor Vendedor de campo      ,MEYVIL SERVICES,"        Trujillo, La Libertad      ",    Es importante ser personas con mucha vocación de servicio y deseos de superación.  Interesados enviar CV.   Requerimientos Educación mínima: Educación media C.H. / Técnica  Menos…    , Justo ahora        
        Trabaja en Casa Asesores de call center con o sin Experiencia Sueldo Fijo Comisiones Ilimitadas V003      ,MDY Contact Center,"        Trujillo, La Libertad      ",    Horario Laboral: Lunes a Sábado de 09:00 am. a 7:00 pm.  ( 8horas diarias)   REQUISITOS:   Tener 18 años como mínimo con DNI vigente.  Con o Sin Experiencia en el rubro.  Tener…    , Justo ahora        
        Ayudante de almacén Trujillo Ref. 18984      ,Manpower,"        Trujillo, La Libertad      ","     Educación técnica o universitaria en computación e informática, Ing. Industrial, Sistemas, Contabilidad, Administración o afines   Experiencia mínima 01 año en el puesto.   Dis…    ", Justo ahora        
        Trabaja desde Casa turno Tarde Sueldo fijoIncentivosBono de internet Part o Full time Trabajo y capacitación remotos AD02      ,MDY Contact Center,"        Trujillo, La Libertad      ",    Buscamos el mejor talento para incorporarse como ASESOR TELEFÓNICO DE ATENCIÓN AL CLIENTE  CLARO (Trabajo 100% remoto)  Experiencia mínima de 3 meses en atención al cliente prese…    , Hace 1 min.        
        Asesor de ventas Turno completo      ,BM3 MOTOS,"        Trujillo, La Libertad      ","    BM3 Motos, empresa concesionaria de las principales marcas de motocicletas: KTM, Hero, Lifan, Benelli, Zongshen, TVS, Greenline, B52 y Azelli, está en búsqueda del mejor talento pa…    ", Hace 4 min.        
        Inspector(a) Hidrobiológico - Chicama      ,SGS,"        Chicama, La Libertad      ","    Descripción de la empresa   SGS es una compañía multinacional de origen suizo, líder mundial en servicios de inspección, verificación, análisis y certificación de productos y servi…    ", Justo ahora        
        Oficial de Logística y Administración - Proyecto MRNO-GRD-BHA- La Libertad      ,Save the Children,"        Trujillo, La Libertad      ",    LA OPORTUNIDAD   El objetivo del puesto es trabajar de manera coordinada con todos los componentes del proyecto “Mejorar las capacidades y mecanismos de coordinación entre las regi…    , Hace 1 hora        
        Consultor (a) de Ventas medio tiempo Turno Tarde - Promart Chacarero      ,Promart,"        Trujillo, La Libertad      ","    Homecenters Peruanos S.A., es una empresa peruana retail de mejoramiento del hogar que forma parte de Intercorp Retail, fundada en el 2011. Nuestra marca comercial es Promart y hoy…    ", Hace 4 horas        
        Ayudante de almacen      ,Corporacion Tutushima E.I.R.L.,"        Trujillo, La Libertad      ","    Requerimientos: Educación de Secundaria completa. Conocimiento de computación a nivel usuario. 03 meses de experiencia en almacenes. Varones o mujeres Ser una persona honesta, con …    ", Hace 7 horas        
        Supervisor de Produccion      ,Corporacion Tutushima E.I.R.L.,"        Trujillo, La Libertad      ","    Requerimientos: Ingeniero Industrial, Ingeniero Mecánico, Ing, Químico o carrera afín. 1 año de experiencia en el sector Industrial. Ambos sexos Mostrar eficiencia, sentido de pert…    ", Hace 7 horas        
        Operador de Montacarga Turnos Rotativos Trujillo      ,Arca Continental,"        Trujillo, La Libertad      ","     Realizar las operaciones de carga y descarga de las unidades de transporte, que ingresan al almacén aplicando el procedimiento interno de almacenamiento.    Realizar la rotación…    ", Justo ahora        
        urgente Se requiere promotor de servicios huamachuco      ,Adecco,"        Huamachuco, La Libertad      ","    Por encargo de nuestro cliente, empresa líder del rubro bancario, nos encontramos en la búsqueda de un Promotor de Servicios.   1. Requisitos:  Estudiantes universitarios o técnico…    ", Justo ahora        
        Personal Mantenimiento Electricidad y Refrigeración      ,D G INVERSIONES SAC,"        Trujillo, La Libertad      ","    S/. 1.000,00 (Mensual) Contrato por Inicio o Incremento de Actividad Tiempo completo   Se necesita 03 personas para el área de mantenimiento con conocimientos básicos en electricid…    ", Justo ahora        
        Profesora de EEFF 3 días y música 4 días Sede Trujillo      ,Colegios Peruanos,"        Trujillo, La Libertad      ",    Estamos en búsqueda de PROFESOR(A) de EEFF (3 días)/ EL GOLF y música (4 días)/ SAN ISIDRO para nuestras sedes en TRUJILLO para el 2022   Especialidades:   EEFF (3 días)   Música…    , Justo ahora        
        Vendedora Full time Trujillo      ,BABYMODAS,"        Trujillo, La Libertad      ","    Interesadas dejar CV de 11:00 am 7:00 pm en Mall Aventura Plaza, Av. América oeste 750 Interior 1181 Frente a la tienda bata. 1er piso .   Requerimientos Educación mínima: Educa…    ", Justo ahora        
        Prevencionistas de Perdidas 8 12 horas rotativas Experiencia Retail Supermercados Trujillo      ,Iseg Peru S.A.C,"        Trujillo, La Libertad      ","    Nos encontramos en busca de nuevos talentos como tú, para que formen parte de nuestro gran equipo de “Prevención de Perdidas”, donde mostramos y resaltamos nuestro ADN ISEG.   Desc…    ", Justo ahora        
        Promotor de venta Black and Decker Trujillo      ,Grupo Tawa,"        Trujillo, La Libertad      ","    Somos una empresa de servicios de gestión de canales de venta. Somos socios permanentes de más de 30 empresas globales y regionales, en canales presenciales y virtuales en Perú y C…    ", Justo ahora        
        Asesor de ventas Turno completo      ,BM3 MOTOS,"        Trujillo, La Libertad      ","    BM3 IMPORT, importante empresa ubicada el centro de Trujillo solicita para su equipo de trabajo Asesor de Ventas de Accesorios para Motos.   Funciones:    Incrementar la cartera de…    ", Justo ahora        
        Analista Programador.NET con experiencia en proyectos de contabilidad      ,CEP Nuestra Senora del Perpetuo Socorro,"        Trujillo, La Libertad      ","    Desarrollar la solución mediante entorno de escritorio y web (.NET, MVC) aplicando buenas prácticas.  Usar procedimientos almacenados optimizados en SQL Server.  Realizar las prueb…    ", Justo ahora        
        Personal para Planta de Concreto y Prefabricados      ,Bectek,"        Trujillo, La Libertad      ","    AYUDANTE DE PLANTA, ASISTENTE DE LABORATORIO, OPERADOR DE BOMBA, AYUDANTE DE BOMBA, OPERADOR DE MIXER, OPERADOR DE CARGADOR.  PLANTA PREFABRICADOS  OPERADOR DE MEZCLADORA, OPERADOR…    ", Justo ahora        
        promotora vendedor Vendedor de campo      ,MEYVIL SERVICES,"        Trujillo, La Libertad      ",    Es importante ser personas con mucha vocación de servicio y deseos de superación.  Interesados enviar CV.   Requerimientos Educación mínima: Educación media C.H. / Técnica  Menos…    , Justo ahora        
        Trabaja en Casa Asesores de call center con o sin Experiencia Sueldo Fijo Comisiones Ilimitadas V003      ,MDY Contact Center,"        Trujillo, La Libertad      ",    Horario Laboral: Lunes a Sábado de 09:00 am. a 7:00 pm.  ( 8horas diarias)   REQUISITOS:   Tener 18 años como mínimo con DNI vigente.  Con o Sin Experiencia en el rubro.  Tener…    , Justo ahora        
        Ayudante de almacén Trujillo Ref. 18984      ,Manpower,"        Trujillo, La Libertad      ","     Educación técnica o universitaria en computación e informática, Ing. Industrial, Sistemas, Contabilidad, Administración o afines   Experiencia mínima 01 año en el puesto.   Dis…    ", Justo ahora        
        Trabaja desde Casa turno Tarde Sueldo fijoIncentivosBono de internet Part o Full time Trabajo y capacitación remotos AD02      ,MDY Contact Center,"        Trujillo, La Libertad      ",    Buscamos el mejor talento para incorporarse como ASESOR TELEFÓNICO DE ATENCIÓN AL CLIENTE  CLARO (Trabajo 100% remoto)  Experiencia mínima de 3 meses en atención al cliente prese…    , Hace 1 min.        
        Asesor de ventas Turno completo      ,BM3 MOTOS,"        Trujillo, La Libertad      ","    BM3 Motos, empresa concesionaria de las principales marcas de motocicletas: KTM, Hero, Lifan, Benelli, Zongshen, TVS, Greenline, B52 y Azelli, está en búsqueda del mejor talento pa…    ", Hace 4 min.        
        Inspector(a) Hidrobiológico - Chicama      ,SGS,"        Chicama, La Libertad      ","    Descripción de la empresa   SGS es una compañía multinacional de origen suizo, líder mundial en servicios de inspección, verificación, análisis y certificación de productos y servi…    ", Justo ahora        
        Oficial de Logística y Administración - Proyecto MRNO-GRD-BHA- La Libertad      ,Save the Children,"        Trujillo, La Libertad      ",    LA OPORTUNIDAD   El objetivo del puesto es trabajar de manera coordinada con todos los componentes del proyecto “Mejorar las capacidades y mecanismos de coordinación entre las regi…    , Hace 1 hora        
        Consultor (a) de Ventas medio tiempo Turno Tarde - Promart Chacarero      ,Promart,"        Trujillo, La Libertad      ","    Homecenters Peruanos S.A., es una empresa peruana retail de mejoramiento del hogar que forma parte de Intercorp Retail, fundada en el 2011. Nuestra marca comercial es Promart y hoy…    ", Hace 4 horas        
        Ayudante de almacen      ,Corporacion Tutushima E.I.R.L.,"        Trujillo, La Libertad      ","    Requerimientos: Educación de Secundaria completa. Conocimiento de computación a nivel usuario. 03 meses de experiencia en almacenes. Varones o mujeres Ser una persona honesta, con …    ", Hace 7 horas        
        Supervisor de Produccion      ,Corporacion Tutushima E.I.R.L.,"        Trujillo, La Libertad      ","    Requerimientos: Ingeniero Industrial, Ingeniero Mecánico, Ing, Químico o carrera afín. 1 año de experiencia en el sector Industrial. Ambos sexos Mostrar eficiencia, sentido de pert…    ", Hace 7 horas        
        Operador de Montacarga Turnos Rotativos Trujillo      ,Arca Continental,"        Trujillo, La Libertad      ","     Realizar las operaciones de carga y descarga de las unidades de transporte, que ingresan al almacén aplicando el procedimiento interno de almacenamiento.    Realizar la rotación…    ", Justo ahora        
        urgente Se requiere promotor de servicios huamachuco      ,Adecco,"        Huamachuco, La Libertad      ","    Por encargo de nuestro cliente, empresa líder del rubro bancario, nos encontramos en la búsqueda de un Promotor de Servicios.   1. Requisitos:  Estudiantes universitarios o técnico…    ", Justo ahora        
        Personal Mantenimiento Electricidad y Refrigeración      ,D G INVERSIONES SAC,"        Trujillo, La Libertad      ","    S/. 1.000,00 (Mensual) Contrato por Inicio o Incremento de Actividad Tiempo completo   Se necesita 03 personas para el área de mantenimiento con conocimientos básicos en electricid…    ", Justo ahora        
        Profesora de EEFF 3 días y música 4 días Sede Trujillo      ,Colegios Peruanos,"        Trujillo, La Libertad      ",    Estamos en búsqueda de PROFESOR(A) de EEFF (3 días)/ EL GOLF y música (4 días)/ SAN ISIDRO para nuestras sedes en TRUJILLO para el 2022   Especialidades:   EEFF (3 días)   Música…    , Justo ahora        
        Vendedora Full time Trujillo      ,BABYMODAS,"        Trujillo, La Libertad      ","    Interesadas dejar CV de 11:00 am 7:00 pm en Mall Aventura Plaza, Av. América oeste 750 Interior 1181 Frente a la tienda bata. 1er piso .   Requerimientos Educación mínima: Educa…    ", Justo ahora        
        Prevencionistas de Perdidas 8 12 horas rotativas Experiencia Retail Supermercados Trujillo      ,Iseg Peru S.A.C,"        Trujillo, La Libertad      ","    Nos encontramos en busca de nuevos talentos como tú, para que formen parte de nuestro gran equipo de “Prevención de Perdidas”, donde mostramos y resaltamos nuestro ADN ISEG.   Desc…    ", Justo ahora        
        Promotor de venta Black and Decker Trujillo      ,Grupo Tawa,"        Trujillo, La Libertad      ","    Somos una empresa de servicios de gestión de canales de venta. Somos socios permanentes de más de 30 empresas globales y regionales, en canales presenciales y virtuales en Perú y C…    ", Justo ahora        
        Asesor de ventas Turno completo      ,BM3 MOTOS,"        Trujillo, La Libertad      ","    BM3 IMPORT, importante empresa ubicada el centro de Trujillo solicita para su equipo de trabajo Asesor de Ventas de Accesorios para Motos.   Funciones:    Incrementar la cartera de…    ", Justo ahora        
        Analista Programador.NET con experiencia en proyectos de contabilidad      ,CEP Nuestra Senora del Perpetuo Socorro,"        Trujillo, La Libertad      ","    Desarrollar la solución mediante entorno de escritorio y web (.NET, MVC) aplicando buenas prácticas.  Usar procedimientos almacenados optimizados en SQL Server.  Realizar las prueb…    ", Justo ahora        
        Personal para Planta de Concreto y Prefabricados      ,Bectek,"        Trujillo, La Libertad      ","    AYUDANTE DE PLANTA, ASISTENTE DE LABORATORIO, OPERADOR DE BOMBA, AYUDANTE DE BOMBA, OPERADOR DE MIXER, OPERADOR DE CARGADOR.  PLANTA PREFABRICADOS  OPERADOR DE MEZCLADORA, OPERADOR…    ", Justo ahora        
        promotora vendedor Vendedor de campo      ,MEYVIL SERVICES,"        Trujillo, La Libertad      ",    Es importante ser personas con mucha vocación de servicio y deseos de superación.  Interesados enviar CV.   Requerimientos Educación mínima: Educación media C.H. / Técnica  Menos…    , Justo ahora        
        Trabaja en Casa Asesores de call center con o sin Experiencia Sueldo Fijo Comisiones Ilimitadas V003      ,MDY Contact Center,"        Trujillo, La Libertad      ",    Horario Laboral: Lunes a Sábado de 09:00 am. a 7:00 pm.  ( 8horas diarias)   REQUISITOS:   Tener 18 años como mínimo con DNI vigente.  Con o Sin Experiencia en el rubro.  Tener…    , Justo ahora        
        Ayudante de almacén Trujillo Ref. 18984      ,Manpower,"        Trujillo, La Libertad      ","     Educación técnica o universitaria en computación e informática, Ing. Industrial, Sistemas, Contabilidad, Administración o afines   Experiencia mínima 01 año en el puesto.   Dis…    ", Justo ahora        
        Trabaja desde Casa turno Tarde Sueldo fijoIncentivosBono de internet Part o Full time Trabajo y capacitación remotos AD02      ,MDY Contact Center,"        Trujillo, La Libertad      ",    Buscamos el mejor talento para incorporarse como ASESOR TELEFÓNICO DE ATENCIÓN AL CLIENTE  CLARO (Trabajo 100% remoto)  Experiencia mínima de 3 meses en atención al cliente prese…    , Hace 1 min.        
        Asesor de ventas Turno completo      ,BM3 MOTOS,"        Trujillo, La Libertad      ","    BM3 Motos, empresa concesionaria de las principales marcas de motocicletas: KTM, Hero, Lifan, Benelli, Zongshen, TVS, Greenline, B52 y Azelli, está en búsqueda del mejor talento pa…    ", Hace 4 min.        
        Inspector(a) Hidrobiológico - Chicama      ,SGS,"        Chicama, La Libertad      ","    Descripción de la empresa   SGS es una compañía multinacional de origen suizo, líder mundial en servicios de inspección, verificación, análisis y certificación de productos y servi…    ", Justo ahora        
        Oficial de Logística y Administración - Proyecto MRNO-GRD-BHA- La Libertad      ,Save the Children,"        Trujillo, La Libertad      ",    LA OPORTUNIDAD   El objetivo del puesto es trabajar de manera coordinada con todos los componentes del proyecto “Mejorar las capacidades y mecanismos de coordinación entre las regi…    , Hace 1 hora        
        Consultor (a) de Ventas medio tiempo Turno Tarde - Promart Chacarero      ,Promart,"        Trujillo, La Libertad      ","    Homecenters Peruanos S.A., es una empresa peruana retail de mejoramiento del hogar que forma parte de Intercorp Retail, fundada en el 2011. Nuestra marca comercial es Promart y hoy…    ", Hace 4 horas        
        Ayudante de almacen      ,Corporacion Tutushima E.I.R.L.,"        Trujillo, La Libertad      ","    Requerimientos: Educación de Secundaria completa. Conocimiento de computación a nivel usuario. 03 meses de experiencia en almacenes. Varones o mujeres Ser una persona honesta, con …    ", Hace 7 horas        
        Supervisor de Produccion      ,Corporacion Tutushima E.I.R.L.,"        Trujillo, La Libertad      ","    Requerimientos: Ingeniero Industrial, Ingeniero Mecánico, Ing, Químico o carrera afín. 1 año de experiencia en el sector Industrial. Ambos sexos Mostrar eficiencia, sentido de pert…    ", Hace 7 horas        
        Operador de Montacarga Turnos Rotativos Trujillo      ,Arca Continental,"        Trujillo, La Libertad      ","     Realizar las operaciones de carga y descarga de las unidades de transporte, que ingresan al almacén aplicando el procedimiento interno de almacenamiento.    Realizar la rotación…    ", Justo ahora        
        urgente Se requiere promotor de servicios huamachuco      ,Adecco,"        Huamachuco, La Libertad      ","    Por encargo de nuestro cliente, empresa líder del rubro bancario, nos encontramos en la búsqueda de un Promotor de Servicios.   1. Requisitos:  Estudiantes universitarios o técnico…    ", Justo ahora        
        Personal Mantenimiento Electricidad y Refrigeración      ,D G INVERSIONES SAC,"        Trujillo, La Libertad      ","    S/. 1.000,00 (Mensual) Contrato por Inicio o Incremento de Actividad Tiempo completo   Se necesita 03 personas para el área de mantenimiento con conocimientos básicos en electricid…    ", Justo ahora        
        Profesora de EEFF 3 días y música 4 días Sede Trujillo      ,Colegios Peruanos,"        Trujillo, La Libertad      ",    Estamos en búsqueda de PROFESOR(A) de EEFF (3 días)/ EL GOLF y música (4 días)/ SAN ISIDRO para nuestras sedes en TRUJILLO para el 2022   Especialidades:   EEFF (3 días)   Música…    , Justo ahora        
        Vendedora Full time Trujillo      ,BABYMODAS,"        Trujillo, La Libertad      ","    Interesadas dejar CV de 11:00 am 7:00 pm en Mall Aventura Plaza, Av. América oeste 750 Interior 1181 Frente a la tienda bata. 1er piso .   Requerimientos Educación mínima: Educa…    ", Justo ahora        
        Prevencionistas de Perdidas 8 12 horas rotativas Experiencia Retail Supermercados Trujillo      ,Iseg Peru S.A.C,"        Trujillo, La Libertad      ","    Nos encontramos en busca de nuevos talentos como tú, para que formen parte de nuestro gran equipo de “Prevención de Perdidas”, donde mostramos y resaltamos nuestro ADN ISEG.   Desc…    ", Justo ahora        
        Promotor de venta Black and Decker Trujillo      ,Grupo Tawa,"        Trujillo, La Libertad      ","    Somos una empresa de servicios de gestión de canales de venta. Somos socios permanentes de más de 30 empresas globales y regionales, en canales presenciales y virtuales en Perú y C…    ", Justo ahora        
        Asesor de ventas Turno completo      ,BM3 MOTOS,"        Trujillo, La Libertad      ","    BM3 IMPORT, importante empresa ubicada el centro de Trujillo solicita para su equipo de trabajo Asesor de Ventas de Accesorios para Motos.   Funciones:    Incrementar la cartera de…    ", Justo ahora        
        Analista Programador.NET con experiencia en proyectos de contabilidad      ,CEP Nuestra Senora del Perpetuo Socorro,"        Trujillo, La Libertad      ","    Desarrollar la solución mediante entorno de escritorio y web (.NET, MVC) aplicando buenas prácticas.  Usar procedimientos almacenados optimizados en SQL Server.  Realizar las prueb…    ", Justo ahora        
        Personal para Planta de Concreto y Prefabricados      ,Bectek,"        Trujillo, La Libertad      ","    AYUDANTE DE PLANTA, ASISTENTE DE LABORATORIO, OPERADOR DE BOMBA, AYUDANTE DE BOMBA, OPERADOR DE MIXER, OPERADOR DE CARGADOR.  PLANTA PREFABRICADOS  OPERADOR DE MEZCLADORA, OPERADOR…    ", Justo ahora        
        promotora vendedor Vendedor de campo      ,MEYVIL SERVICES,"        Trujillo, La Libertad      ",    Es importante ser personas con mucha vocación de servicio y deseos de superación.  Interesados enviar CV.   Requerimientos Educación mínima: Educación media C.H. / Técnica  Menos…    , Justo ahora        
        Trabaja en Casa Asesores de call center con o sin Experiencia Sueldo Fijo Comisiones Ilimitadas V003      ,MDY Contact Center,"        Trujillo, La Libertad      ",    Horario Laboral: Lunes a Sábado de 09:00 am. a 7:00 pm.  ( 8horas diarias)   REQUISITOS:   Tener 18 años como mínimo con DNI vigente.  Con o Sin Experiencia en el rubro.  Tener…    , Justo ahora        
        Ayudante de almacén Trujillo Ref. 18984      ,Manpower,"        Trujillo, La Libertad      ","     Educación técnica o universitaria en computación e informática, Ing. Industrial, Sistemas, Contabilidad, Administración o afines   Experiencia mínima 01 año en el puesto.   Dis…    ", Justo ahora        
        Trabaja desde Casa turno Tarde Sueldo fijoIncentivosBono de internet Part o Full time Trabajo y capacitación remotos AD02      ,MDY Contact Center,"        Trujillo, La Libertad      ",    Buscamos el mejor talento para incorporarse como ASESOR TELEFÓNICO DE ATENCIÓN AL CLIENTE  CLARO (Trabajo 100% remoto)  Experiencia mínima de 3 meses en atención al cliente prese…    , Hace 1 min.        
