,trabajo
0,"


VIGENTE 

                                    Finaliza el 03/12/2021 





32 VACANTES
CONVOCATORIA: PRIVADO

Entidad: MAPFRE
Remuneración: NO ESPECIFICA
Para: Administración, Economia, Marketing, Comunicación, Publicidad, Ingeniería de Industrial, Ingeniería en Seguridad e Higiene, In
Ver aviso


"
1,"


VIGENTE 

                                    Finaliza el 03/12/2021 





18 VACANTES
CONVOCATORIA: PRIVADO

Entidad: LA POSITIVA
Remuneración: NO ESPECIFICA
Para: Administración, Contabilidad, Derecho, Marketing, Enfermería, Psicología, Ingeniería Industrial, Ingeniería de Sistemas
Ver aviso


"
2,"


VIGENTE 

                                    Finaliza el 03/12/2021 





2 VACANTES
CONVOCATORIA: PRIVADO

Entidad: MINERA TAURO
Remuneración: NO ESPECIFICA
Para:  Ingeniería Minas
Ver aviso


"
3,"


VIGENTE 

                                    Finaliza el 02/12/2021 





18 VACANTES
CONVOCATORIA: PRIVADO

Entidad: CAJA METROPOLITANA DE LIMA
Remuneración: NO ESPECIFICA
Para: Administración, Economía, Contabilidad, Arquitectura, Ingeniería Industrial
Ver aviso


"
4,"


VIGENTE 

                                    Finaliza el 02/12/2021 





87 VACANTES
CONVOCATORIA: PRIVADO

Entidad: CAJA SULLANA
Remuneración: NO ESPECIFICA
Para: Administración, Contabilidad, Economía, Derecho, Ingeniería Industrial, Ingeniería Agropecuaria, Agrónoma, Ingeniería de Sis
Ver aviso


"
5,"


VIGENTE 

                                    Finaliza el 02/12/2021 





17 VACANTES
CONVOCATORIA: PRIVADO

Entidad: CAJA TRUJILLO
Remuneración: NO ESPECIFICA
Para: Administración, Contabilidad, Economía, Estadística, Ciencias Jurídicas, Ingenierías
Ver aviso


"
6,"


VIGENTE 

                                    Finaliza el 02/12/2021 





47 VACANTES
CONVOCATORIA: PRIVADO

Entidad: COMPARTAMOS FINANCIERA
Remuneración: NO ESPECIFICA
Para: Administración, Contabilidad, Economía, Estadística, Educación, finanzas, Marketing, Ingeniería Industrial, Ingeniera estadí
Ver aviso


"
7,"


VIGENTE 

                                    Finaliza el 07/12/2021 





3 VACANTES
CONVOCATORIA: PRACTICAS

Entidad: SENCICO
Remuneración: S/.930.00 y S/.1000.00 soles
Para: Archivística, Computación e Informática, Edificaciones y Obras Civiles
Ver aviso


"
8,"


VIGENTE 

                                    Finaliza el 08/12/2021 





11 VACANTES
CONVOCATORIA: CONCURSO PÚBLICO

Entidad: UNIVERSIDAD NACIONAL CIRO ALEGRÍA
Remuneración: NO ESPECIFICA
Para: Administración y Turismo, Ingeniería Estadística, Ingeniería Estadística e Informática, Turismo y Hostelería, Educación, E
Ver aviso


"
9,"


VIGENTE 

                                    Finaliza el 30/11/2021 





3 VACANTES
CONVOCATORIA: 728

Entidad: SAT TRUJILLO
Remuneración: Entre S/. 930 y S/. 1600 Soles
Para: Administración, Arquitectura, Contabilidad, Derecho, Ingeniería civil
Ver aviso


"
10,"


VIGENTE 

                                    Finaliza el 30/11/2021 





14 VACANTES
CONVOCATORIA: 728

Entidad: MINISTERIO PÚBLICO - FISCALÍA
Remuneración: Entre S/. 3800 y S/. 4751 Soles
Para: Derecho, Psicología
Ver aviso


"
11,"


VIGENTE 

                                    Finaliza el 03/12/2021 





42 VACANTES
CONVOCATORIA: NOMBRAMIENTO DOCENTE

Entidad: UNIVERSIDAD DE TRUJILLO
Remuneración: Entre S/. 914.50 y S/. 7,557.32 Soles
Para: Antropología, Biología Microbiología, Ingeniería Estadística, Ingeniería Mecánica, Ingeniería de Minas, Medicina Interna, 
Ver aviso


"
12,"


VIGENTE 

                                    Finaliza el 27/11/2021 





90 VACANTES
CONVOCATORIA: PRIVADO

Entidad: CONFIPETROL
Remuneración: NO ESPECIFICA
Para: Administración, Contabilidad , Mecánica, Producción, enfermería, Electricista, Electrotecnia Industrial, Electrónico, Civil, 
Ver aviso


"
13,"


VIGENTE 

                                    Finaliza el 27/11/2021 





19 VACANTES
CONVOCATORIA: PRIVADO

Entidad: ZETA GAS
Remuneración: NO ESPECIFICA
Para: Mecánica Automotriz, Eléctrico, Mecanica Automotriz, Mecanica Electricista, Ingeniería industriales
Ver aviso


"
14,"


VIGENTE 

                                    Finaliza el 27/11/2021 





2 VACANTES
CONVOCATORIA: PRIVADO

Entidad: LA CALERA
Remuneración: NO ESPECIFICA
Para: Vendedor,  Asistente Administrativo, Ingeniería Industrial
Ver aviso


"
15,"


VIGENTE 

                                    Finaliza el 27/11/2021 





15 VACANTES
CONVOCATORIA: PRIVADO

Entidad: ÓPTICAS GMO
Remuneración: NO ESPECIFICA
Para: Óptico,  Asesor de Ventas, Auxiliar de Producción,  Biselador Optico, Optometra
Ver aviso


"
16,"


VIGENTE 

                                    Finaliza el 27/11/2021 





15 VACANTES
CONVOCATORIA: PRIVADO

Entidad: LINDLEY
Remuneración: NO ESPECIFICA
Para: Administración, contabilidad, Electricidad, Electrónica, marketing, Ingeniaría industrial, Ingeniería de alimentos, Ingenierí
Ver aviso


"
17,"


VIGENTE 

                                    Finaliza el 26/11/2021 





46 VACANTES
CONVOCATORIA: PRIVADO

Entidad: LOS PORTALES
Remuneración: NO ESPECIFICA
Para: Administración, Contabilidad, Economía, Finanzas, Derecho, Hotelería, Turismo, Ingeniería Industrial, Ingeniería Civil, Arqui
Ver aviso


"
18,"


VIGENTE 

                                    Finaliza el 26/11/2021 





19 VACANTES
CONVOCATORIA: PRIVADO

Entidad: LA POSITIVA
Remuneración: NO ESPECIFICA
Para: Administración, Contabilidad, Economía, Estadística, Derecho, Marketing, Matemática, Enfermería, Psicología, Ingeniería Ind
Ver aviso


"
19,"


VIGENTE 

                                    Finaliza el 30/11/2021 





14 VACANTES
CONVOCATORIA: PRIVADO

Entidad: FINANCIERA CONFIANZA
Remuneración: NO ESPECIFICA
Para:  Administración, Economía, Contabilidad, Sociología, Pedagogía, Trabajo Social,  Zootecnia, Ciencias Agrarias, Marketing, Inge
Ver aviso


"
20,"


VIGENTE 

                                    Finaliza el 30/11/2021 





4 VACANTES
CONVOCATORIA: PRIVADO

Entidad: BANBIF
Remuneración: NO ESPECIFICA
Para:  Administración, Ingeniería Industrial
Ver aviso


"
21,"


VIGENTE 

                                    Finaliza el 30/11/2021 





7 VACANTES
CONVOCATORIA: PRIVADO

Entidad: BANCO GNB
Remuneración: NO ESPECIFICA
Para: Administración, Contabilidad, Ingeniería Industrial
Ver aviso


"
22,"


VIGENTE 

                                    Finaliza el 29/11/2021 





25 VACANTES
CONVOCATORIA: PRIVADO

Entidad: BANCO DE COMERCIO
Remuneración: NO ESPECIFICA
Para: Administración, Contabilidad, Comunicaciones, Economía, Finanzas, Marketing,  Ventas, Industrial
Ver aviso


"
23,"


VIGENTE 

                                    Finaliza el 29/11/2021 





55 VACANTES
CONVOCATORIA: PRIVADO

Entidad: BANCO PICHINCHA
Remuneración: NO ESPECIFICA
Para: Administración, Contabilidad, Economía, Estadística, Finanzas, Ingeniería Industrial,  Ingeniería Estadística, Ingeniería d
Ver aviso


"
24,"


VIGENTE 

                                    Finaliza el 29/11/2021 





44 VACANTES
CONVOCATORIA: PRIVADO

Entidad: BANCO AZTECA
Remuneración: NO ESPECIFICA
Para: Administración, contabilidad, Economía, Estadística, Finanzas, Ingeniería de Sistema
Ver aviso


"
25,"


VIGENTE 

                                    Finaliza el 29/11/2021 





40 VACANTES
CONVOCATORIA: PRIVADO

Entidad: MIBANCO
Remuneración: NO ESPECIFICA
Para: Administración,  Contabilidad, Economía, Estadística,  Finanzas, Arquitectura, Marketing, Ingeniería Civil, Ingeniería indust
Ver aviso


"
